,seed,d,method,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
0,70,3,LSTransferTreeBoost,0.075,1,1,0.01,0.5,1000,1.382969268504189,1.0878322041149766,1.4159721613308274,1.1122816325494904
1,70,3,LADTransferTreeBoost,0.075,1,1,0.01,0.5,1000,1.396506479546218,1.103769774165155,1.4065259939845256,1.0923230618656774
2,70,3,MTransferTreeBoost,0.075,1,1,0.01,0.5,1000,1.2538885037598893,0.9792017281049549,1.2285073686387837,0.9604804104531076
3,70,3,LSTransferTreeBoost,0.075,1,1,0.01,0.9,1000,1.3983146816328447,1.0982808919620501,1.4128778147357186,1.1056264331942869
4,70,3,LADTransferTreeBoost,0.075,1,1,0.01,0.9,1000,1.4061584031928644,1.1110406965121946,1.4079099561308424,1.0983304459836842
5,70,3,MTransferTreeBoost,0.075,1,1,0.01,0.9,1000,1.2466081262799558,0.9729387971587972,1.2181940556169164,0.9549877421391157
6,70,3,LSTransferTreeBoost,0.075,1,1,0.05,0.5,1000,1.4425241974859258,1.1334183892388283,1.4920331917994882,1.1768212061184256
7,70,3,LADTransferTreeBoost,0.075,1,1,0.05,0.5,1000,1.7766045717283359,1.3811771719968367,1.7759116781288178,1.3933585973936131
8,70,3,MTransferTreeBoost,0.075,1,1,0.05,0.5,1000,2.59524027432384,2.083720984737349,2.648274044414251,2.122204999102303
9,70,3,LSTransferTreeBoost,0.075,1,1,0.05,0.9,1000,1.4391348017227066,1.1335650152665748,1.485184553551566,1.1705596183555058
10,70,3,LADTransferTreeBoost,0.075,1,1,0.05,0.9,1000,1.5735166145292723,1.2192982433584514,1.5607649400763044,1.2172361469474744
11,70,3,MTransferTreeBoost,0.075,1,1,0.05,0.9,1000,2.406447268137127,1.9340381692791428,2.4522719124734986,1.9594317061903497
12,70,3,LSTransferTreeBoost,0.075,1,2,0.01,0.5,1000,1.3894716424842168,1.0917052382601937,1.3883147532062547,1.1000890318331453
13,70,3,LADTransferTreeBoost,0.075,1,2,0.01,0.5,1000,1.3852862453200427,1.0765429138280338,1.3476727690153154,1.0298896416549164
14,70,3,MTransferTreeBoost,0.075,1,2,0.01,0.5,1000,1.1441022178235034,0.8894815040428157,1.1518225259633261,0.898665405495291
15,70,3,LSTransferTreeBoost,0.075,1,2,0.01,0.9,1000,1.3495577521697022,1.0468143902752973,1.3214265278154693,1.0318362228672318
16,70,3,LADTransferTreeBoost,0.075,1,2,0.01,0.9,1000,1.441812503606834,1.1322367208849,1.4113506257394335,1.093666881134684
17,70,3,MTransferTreeBoost,0.075,1,2,0.01,0.9,1000,1.2042401050003528,0.9319895821216624,1.209481451084163,0.9207848059230264
18,70,3,LSTransferTreeBoost,0.075,1,2,0.05,0.5,1000,1.4318789130310565,1.1231156493283816,1.4322583818868193,1.1313532454240067
